Date_ID,UNIQUE_DATE
D20180501,2018-05-01
D20180502,2018-05-02
D20180503,2018-05-03
D20180504,2018-05-04
D20180505,2018-05-05
D20180506,2018-05-06
D20180507,2018-05-07
D20180508,2018-05-08
D20180509,2018-05-09
D20180510,2018-05-10
D20180511,2018-05-11
D20180512,2018-05-12
D20180513,2018-05-13
D20180514,2018-05-14
D20180515,2018-05-15
D20180516,2018-05-16
D20180517,2018-05-17
D20180518,2018-05-18
D20180519,2018-05-19
D20180520,2018-05-20
D20180521,2018-05-21
D20180522,2018-05-22
D20180523,2018-05-23
D20180524,2018-05-24
D20180525,2018-05-25
D20180526,2018-05-26
D20180527,2018-05-27
D20180528,2018-05-28
D20180529,2018-05-29
D20180530,2018-05-30
D20180531,2018-05-31
D20180601,2018-06-01
D20180602,2018-06-02
D20180603,2018-06-03
D20180604,2018-06-04
D20180605,2018-06-05
D20180606,2018-06-06
D20180607,2018-06-07
D20180608,2018-06-08
D20180609,2018-06-09
D20180610,2018-06-10
D20180611,2018-06-11
D20180612,2018-06-12
D20180613,2018-06-13
D20180614,2018-06-14
D20180615,2018-06-15
D20180616,2018-06-16
D20180617,2018-06-17
D20180618,2018-06-18
D20180619,2018-06-19
D20180620,2018-06-20
D20180621,2018-06-21
D20180622,2018-06-22
D20180623,2018-06-23
D20180624,2018-06-24
D20180625,2018-06-25
D20180626,2018-06-26
D20180627,2018-06-27
D20180628,2018-06-28
D20180629,2018-06-29
D20180630,2018-06-30
D20180701,2018-07-01
D20180702,2018-07-02
D20180703,2018-07-03
D20180704,2018-07-04
D20180705,2018-07-05
D20180706,2018-07-06
D20180707,2018-07-07
D20180708,2018-07-08
D20180709,2018-07-09
D20180710,2018-07-10
D20180711,2018-07-11
D20180712,2018-07-12
D20180713,2018-07-13
D20180714,2018-07-14
D20180715,2018-07-15
D20180716,2018-07-16
D20180717,2018-07-17